Country,Year,Value
Italy,1995,5.1
Italy,1996,4.9
Italy,1997,4.9
Italy,1998,4.9
Italy,1999,4.9
Italy,2000,5
Italy,2001,4.6
Italy,2002,4.7
Italy,2003,4.6
Italy,2004,4.3
Italy,2005,4.3
Italy,2006,4.2
Italy,2007,4.3
Italy,2008,4.2
Italy,2009,3.9
Italy,2010,3.7
Italy,2011,3.4
Italy,2012,3.5
Italy,2013,3.2
Italy,2014,3.1
Italy,2015,3.2
Italy,2016,3.4
Italy,2017,3.2
Italy,2018,3.2
Italy,2019,3.1
New Zealand,1990,6.9
New Zealand,1991,6.3
New Zealand,1992,5.9
New Zealand,1993,5.8
New Zealand,1994,5.7
New Zealand,1995,5.6
New Zealand,1996,5.5
New Zealand,1997,5.3
New Zealand,1998,5.3
New Zealand,1999,5.5
New Zealand,2000,5.4
New Zealand,2001,5.1
New Zealand,2002,5.2
New Zealand,2003,5.3
New Zealand,2004,5.1
New Zealand,2005,5
New Zealand,2006,5.2
New Zealand,2007,5.2
New Zealand,2008,5.2
New Zealand,2009,5.1
New Zealand,2010,4.9
New Zealand,2011,4.7
New Zealand,2012,4.7
New Zealand,2013,4.4
New Zealand,2014,4.4
New Zealand,2015,4.3
New Zealand,2016,4.2
New Zealand,2017,4.3
New Zealand,2018,4.2
New Zealand,2019,3.8
Slovenia,1990,4.3
Slovenia,1991,4.1
Slovenia,1992,4.6
Slovenia,1993,4.5
Slovenia,1994,4.2
Slovenia,1995,4.1
Slovenia,1996,3.8
Slovenia,1997,3.8
Slovenia,1998,3.8
Slovenia,1999,3.9
Slovenia,2000,3.6
Slovenia,2001,3.5
Slovenia,2002,3.5
Slovenia,2003,3.4
Slovenia,2004,3.3
Slovenia,2005,2.9
Slovenia,2006,3.2
Slovenia,2007,3.2
Slovenia,2008,3.3
Slovenia,2009,3.2
Slovenia,2010,3.2
Slovenia,2011,3.2
Slovenia,2012,3.4
Slovenia,2013,3
Slovenia,2014,3.2
Slovenia,2015,3.1
Slovenia,2016,3.2
Slovenia,2017,3.1
Slovenia,2018,3.5
Slovenia,2019,3.2
Israel,1990,6.8
Israel,1991,6.5
Israel,1992,6.4
Israel,1993,6.6
Israel,1994,6.7
Israel,1995,6.5
Israel,1996,6.3
Israel,1997,6.5
Israel,1998,6.7
Israel,1999,6.6
Israel,2000,6.4
Israel,2001,6.3
Israel,2002,6.2
Israel,2003,6.1
Israel,2004,5.9
Israel,2005,5.9
Israel,2006,6.3
Israel,2007,6.5
Israel,2008,6.8
Israel,2009,6.5
Israel,2010,6.3
Israel,2011,6.6
Israel,2012,6.4
Israel,2013,6.5
Israel,2014,6.2
Israel,2015,6.4
Israel,2016,6.2
Israel,2017,5.7
Israel,2018,5.6
Israel,2019,5.3
Cyprus,1990,9.7
Cyprus,1991,10.5
Cyprus,1992,8
Cyprus,1993,9.7
Cyprus,1994,9.7
Cyprus,1995,10.2
Cyprus,1996,8.7
Cyprus,1997,10.7
Cyprus,1998,11.4
Cyprus,1999,13.2
Cyprus,2000,13.4
Cyprus,2001,15.1
Cyprus,2002,14.5
Cyprus,2003,7.7
Cyprus,2004,7.3
Cyprus,2005,8
Cyprus,2006,7
Cyprus,2007,8.3
Cyprus,2008,7.8
Cyprus,2009,7.8
Cyprus,2010,7.3
Cyprus,2011,7.3
Cyprus,2012,6.7
Cyprus,2013,6.4
Cyprus,2014,6.3
Cyprus,2015,7.2
Cyprus,2016,7.5
Cyprus,2017,6.8
Cyprus,2018,7.8
Cyprus,2019,8.9
Portugal,1990,7.2
Portugal,1991,7.2
Portugal,1992,7
Portugal,1993,6.8
Portugal,1994,6.6
Portugal,1995,6.6
Portugal,1996,6.3
Portugal,1997,6.5
Portugal,1998,6.6
Portugal,1999,6.7
Portugal,2000,6.2
Portugal,2001,5.6
Portugal,2002,5.4
Portugal,2003,5.1
Portugal,2004,4.7
Portugal,2005,4.6
Portugal,2006,4.5
Portugal,2007,4.4
Portugal,2008,4.1
Portugal,2009,3.8
Portugal,2010,3.8
Portugal,2011,3.4
Portugal,2012,3.3
Portugal,2013,3.1
Portugal,2014,3
Portugal,2015,3.1
Portugal,2016,3.1
Portugal,2017,3.3
Portugal,2018,3.4
Portugal,2019,3.2
France,1994,4.4
France,1995,4.4
France,1996,4.8
France,1997,4.9
France,1998,4.6
France,1999,4.9
France,2000,5
France,2001,4.8
France,2002,4.6
France,2003,4.6
France,2004,4.5
France,2005,4.5
France,2006,4.3
France,2007,4.3
France,2008,4.1
France,2009,3.9
France,2010,3.9
France,2011,3.6
France,2012,3.7
France,2013,3.6
France,2014,3.6
France,2015,3.6
France,2016,3.5
France,2017,3.5
France,2018,3.5
Greece,1990,5.8
Greece,1991,6.4
Greece,1992,4.7
Greece,1993,5.9
Greece,1994,5.4
Greece,1995,6.1
Greece,1996,4.3
Greece,1997,5.6
Greece,1998,5.1
Greece,1999,5.6
Greece,2000,4.5
Greece,2001,5.3
Greece,2002,5.3
Greece,2003,5.5
Greece,2004,4.6
Greece,2005,5.5
Greece,2006,5.2
Greece,2007,5.5
Greece,2008,4.8
Greece,2009,5.3
Greece,2010,5.1
Greece,2011,5
Greece,2012,4.5
Greece,2013,4.7
Greece,2014,4.9
Greece,2015,5
Greece,2016,4.6
Greece,2017,4.7
Greece,2018,4.4
Greece,2019,4.4
Netherlands,1990,6.5
Netherlands,1991,6.4
Netherlands,1992,6.2
Netherlands,1993,5.8
Netherlands,1994,5.4
Netherlands,1995,5.3
Netherlands,1996,5.5
Netherlands,1997,5.4
Netherlands,1998,5.5
Netherlands,1999,5.7
Netherlands,2000,5.5
Netherlands,2001,5
Netherlands,2002,5.2
Netherlands,2003,4.9
Netherlands,2004,4.4
Netherlands,2005,4.4
Netherlands,2006,4.4
Netherlands,2007,4.3
Netherlands,2008,4.5
Netherlands,2009,4.4
Netherlands,2010,4.5
Netherlands,2011,4.3
Netherlands,2012,4.2
Netherlands,2013,3.8
Netherlands,2014,3.9
Netherlands,2015,3.8
Netherlands,2016,3.8
Netherlands,2017,3.8
Netherlands,2018,3.7
Netherlands,2019,3.7
Latvia,1990,8.9
Latvia,1991,8.4
Latvia,1992,7.2
Latvia,1993,5.7
Latvia,1994,4.6
Latvia,1995,4.5
Latvia,1996,3.9
Latvia,1997,4
Latvia,1998,4
Latvia,1999,3.9
Latvia,2000,3.9
Latvia,2001,4
Latvia,2002,4.2
Latvia,2003,4.4
Latvia,2004,4.6
Latvia,2005,5.6
Latvia,2006,6.6
Latvia,2007,7
Latvia,2008,5.9
Latvia,2009,4.6
Latvia,2010,4.4
Latvia,2011,5.2
Latvia,2012,5.5
Latvia,2013,5.7
Latvia,2014,6.3
Latvia,2015,6.9
Latvia,2016,6.6
Latvia,2017,6.8
Latvia,2018,6.8
Latvia,2019,6.7
Iceland,1990,4.5
Iceland,1991,4.8
Iceland,1992,4.8
Iceland,1993,4.6
Iceland,1994,4.9
Iceland,1995,4.6
Iceland,1996,5
Iceland,1997,5.5
Iceland,1998,5.6
Iceland,1999,5.6
Iceland,2000,6.3
Iceland,2001,5.2
Iceland,2002,5.6
Iceland,2003,5.1
Iceland,2004,5
Iceland,2005,5.4
Iceland,2006,5.5
Iceland,2007,5.5
Iceland,2008,5.2
Iceland,2009,4.6
Iceland,2010,4.9
Iceland,2011,4.6
Poland,1990,6.7
Poland,1991,6.1
Poland,1992,5.7
Poland,1993,5.4
Poland,1994,5.4
Poland,1995,5.4
Poland,1996,5.3
Poland,1997,5.3
Poland,1998,5.4
Poland,1999,5.7
Poland,2000,5.5
Poland,2001,5.1
Poland,2002,5
Poland,2003,5.1
Poland,2004,5
Poland,2005,5.4
Poland,2006,5.9
Poland,2007,6.5
Poland,2008,6.8
Poland,2009,6.6
Poland,2010,6
Poland,2011,5.4
Poland,2012,5.4
Poland,2013,4.7
Poland,2014,5
Poland,2015,5
Poland,2016,5.1
Poland,2017,5.1
Poland,2018,5.1
Poland,2019,4.8
Norway,1990,5.2
Norway,1991,4.7
Norway,1992,4.5
Norway,1993,4.5
Norway,1994,4.8
Norway,1995,5
Norway,1996,5.3
Norway,1997,5.4
Norway,1998,5.3
Norway,1999,5.3
Norway,2000,5
Norway,2001,4.4
Norway,2002,4.5
Norway,2003,4.9
Norway,2004,4.1
Norway,2005,4.8
Norway,2006,4.7
Norway,2007,5
Norway,2008,5.3
Norway,2009,5
Norway,2010,4.8
Norway,2011,4.6
Norway,2012,4.8
Norway,2013,4.7
Norway,2014,4.6
Norway,2015,4.5
Norway,2016,4.5
Norway,2017,4.4
Norway,2018,4.3
Norway,2019,4
Croatia,1990,5.8
Croatia,1991,4.6
Croatia,1992,4.8
Croatia,1993,5
Croatia,1994,5.2
Croatia,1995,5.3
Croatia,1996,5.4
Croatia,1997,5.4
Croatia,1998,5.3
Croatia,1999,5.3
Croatia,2000,4.9
Croatia,2001,5.1
Croatia,2002,5.3
Croatia,2003,5.2
Croatia,2004,5.3
Croatia,2005,5.1
Croatia,2006,5.1
Croatia,2007,5.4
Croatia,2008,5.4
Croatia,2009,5.2
Croatia,2010,5
Croatia,2011,4.7
Croatia,2012,4.8
Croatia,2013,4.5
Croatia,2014,4.6
Croatia,2015,4.7
Croatia,2016,4.9
Croatia,2017,4.9
Croatia,2018,4.9
Croatia,2019,4.9
Switzerland,1990,6.9
Switzerland,1991,7
Switzerland,1992,6.6
Switzerland,1993,6.2
Switzerland,1994,6.1
Switzerland,1995,5.8
Switzerland,1996,5.7
Switzerland,1997,5.5
Switzerland,1998,5.4
Switzerland,1999,5.7
Switzerland,2000,5.5
Switzerland,2001,5
Switzerland,2002,5.5
Switzerland,2003,5.5
Switzerland,2004,5.3
Switzerland,2005,5.4
Switzerland,2006,5.3
Switzerland,2007,5.3
Switzerland,2008,5.4
Switzerland,2009,5.4
Switzerland,2010,5.5
Switzerland,2011,5.3
Switzerland,2012,5.3
Switzerland,2013,4.9
Switzerland,2014,5.1
Switzerland,2015,5
Switzerland,2016,5
Switzerland,2017,4.8
Switzerland,2018,4.8
Switzerland,2019,4.5
Luxembourg,1990,6.1
Luxembourg,1991,6.7
Luxembourg,1992,6.4
Luxembourg,1993,6
Luxembourg,1994,5.8
Luxembourg,1995,5.1
Luxembourg,1996,5.1
Luxembourg,1997,4.8
Luxembourg,1998,4.8
Luxembourg,1999,4.9
Luxembourg,2000,4.9
Luxembourg,2001,4.5
Luxembourg,2002,4.5
Luxembourg,2003,4.4
Luxembourg,2004,4.4
Luxembourg,2005,4.4
Luxembourg,2006,4.1
Luxembourg,2007,4.1
Luxembourg,2008,3.9
Luxembourg,2009,3.5
Luxembourg,2010,3.5
Luxembourg,2011,3.3
Luxembourg,2012,3.4
Luxembourg,2013,3.2
Luxembourg,2014,3
Luxembourg,2015,3.6
Luxembourg,2016,3.2
Luxembourg,2017,3.2
Luxembourg,2018,3.1
Luxembourg,2019,3.5
Malta,1990,7.1
Malta,1991,7.1
Malta,1992,6.6
Malta,1993,6.8
Malta,1994,6.7
Malta,1995,6.1
Malta,1996,6.2
Malta,1997,6.4
Malta,1998,6.5
Malta,1999,6.4
Malta,2000,6.7
Malta,2001,5.6
Malta,2002,5.7
Malta,2003,5.9
Malta,2004,6
Malta,2005,5.9
Malta,2006,6.3
Malta,2007,6.1
Malta,2008,6.1
Malta,2009,5.7
Malta,2010,6.3
Malta,2011,6.2
Malta,2012,6.7
Malta,2013,6.1
Malta,2014,6.6
Malta,2015,6.7
Malta,2016,6.7
Malta,2017,6.3
Malta,2018,5.8
Malta,2019,5.3
Mexico,1990,7.4
Mexico,1991,7.4
Mexico,1992,7.4
Mexico,1993,7.2
Mexico,1994,7.2
Mexico,1995,7
Mexico,1996,7
Mexico,1997,7.3
Mexico,1998,7.2
Mexico,1999,7.5
Mexico,2000,7
Mexico,2001,6.5
Mexico,2002,6
Mexico,2003,5.6
Mexico,2004,5.7
Mexico,2005,5.6
Mexico,2006,5.4
Mexico,2007,5.4
Mexico,2008,5.3
Mexico,2009,5
Mexico,2010,5
Mexico,2011,4.9
Mexico,2012,5
Mexico,2013,4.9
Mexico,2014,4.8
Mexico,2015,4.6
Mexico,2016,4.4
Mexico,2017,4.3
Mexico,2018,4
Mexico,2019,4
Korea,1990,9.3
Korea,1991,9.6
Korea,1992,9.6
Korea,1993,9
Korea,1994,8.7
Korea,1995,8.7
Korea,1996,9.4
Korea,1997,8.4
Korea,1998,8
Korea,1999,7.6
Korea,2000,7
Korea,2001,6.7
Korea,2002,6.3
Korea,2003,6.3
Korea,2004,6.4
Korea,2005,6.5
Korea,2006,6.8
Korea,2007,7
Korea,2008,6.6
Korea,2009,6.2
Korea,2010,6.5
Korea,2011,6.6
Korea,2012,6.5
Korea,2013,6.4
Korea,2014,6
Korea,2015,5.9
Korea,2016,5.5
Korea,2017,5.2
Korea,2018,5
Korea,2019,4.7
Australia,1990,6.9
Australia,1991,6.6
Australia,1992,6.6
Australia,1993,6.4
Australia,1994,6.2
Australia,1995,6.1
Australia,1996,5.8
Australia,1997,5.8
Australia,1998,5.9
Australia,1999,6
Australia,2000,5.9
Australia,2001,5.3
Australia,2002,5.4
Australia,2003,5.3
Australia,2004,5.5
Australia,2005,5.4
Australia,2006,5.5
Australia,2007,5.5
Australia,2008,5.5
Australia,2009,5.5
Australia,2010,5.4
Australia,2011,5.4
Australia,2012,5.4
Australia,2013,5.1
Australia,2014,5.2
Australia,2015,4.8
Australia,2016,4.9
Australia,2017,4.6
Australia,2018,4.8
Australia,2019,4.5
Romania,1990,8.3
Romania,1991,8
Romania,1992,7.7
Romania,1993,7.1
Romania,1994,6.8
Romania,1995,6.8
Romania,1996,6.6
Romania,1997,6.5
Romania,1998,6.5
Romania,1999,6.2
Romania,2000,6.1
Romania,2001,5.9
Romania,2002,5.9
Romania,2003,6.2
Romania,2004,6.7
Romania,2005,6.7
Romania,2006,6.9
Romania,2007,9.1
Romania,2008,7.3
Romania,2009,6.6
Romania,2010,5.7
Romania,2011,5.2
Romania,2012,5.4
Romania,2013,5.4
Romania,2014,5.9
Romania,2015,6.3
Romania,2016,6.8
Romania,2017,7.3
Romania,2018,7.4
Romania,2019,6.6
Finland,1990,5
Finland,1991,4.9
Finland,1992,4.7
Finland,1993,4.9
Finland,1994,4.9
Finland,1995,4.6
Finland,1997,4.6
Finland,1998,4.7
Finland,1999,4.7
Finland,2000,5.1
Finland,2001,4.8
Finland,2002,5.2
Finland,2003,5
Finland,2004,5.6
Finland,2005,5.6
Finland,2006,5.4
Finland,2007,5.6
Finland,2008,5.8
Finland,2009,5.6
Finland,2010,5.6
Finland,2011,5.3
Finland,2012,5.3
Finland,2013,4.6
Finland,2014,4.5
Finland,2015,4.5
Finland,2016,4.5
Finland,2017,4.8
Finland,2018,4.3
Finland,2019,4
Chile,1992,6.6
Chile,1993,6.7
Chile,1994,6.5
Chile,1995,6.1
Chile,1996,5.8
Chile,1997,5.3
Chile,1998,5
Chile,1999,4.6
Chile,2000,4.4
Chile,2001,4.1
Chile,2002,3.9
Chile,2003,3.6
Chile,2004,3.3
Chile,2005,3.3
Chile,2006,3.5
Chile,2007,3.5
Chile,2008,3.3
Chile,2009,3.3
Chile,2010,3.5
Chile,2011,3.8
Chile,2012,3.7
Chile,2013,3.5
Chile,2014,3.6
Chile,2015,3.4
Chile,2016,3.4
Chile,2017,3.3
Chile,2018,3.4
Ireland,1990,5.1
Ireland,1991,4.9
Ireland,1992,4.7
Ireland,1993,4.7
Ireland,1994,4.6
Ireland,1995,4.3
Ireland,1996,4.4
Ireland,1997,4.3
Ireland,1998,4.5
Ireland,1999,4.9
Ireland,2000,5
Ireland,2001,5
Ireland,2002,5.2
Ireland,2003,5.1
Ireland,2004,5.2
Ireland,2005,5.1
Ireland,2006,5.2
Ireland,2007,5.2
Ireland,2008,4.9
Ireland,2009,4.8
Ireland,2010,4.5
Ireland,2011,4.3
Ireland,2012,4.5
Ireland,2013,4.5
Ireland,2014,4.7
Ireland,2015,4.7
Ireland,2016,4.8
Ireland,2017,4.6
Ireland,2018,4.3
Ireland,2019,4.1
Canada,1990,6.8
Canada,1991,6.1
Canada,1992,5.8
Canada,1993,5.6
Canada,1994,5.5
Canada,1995,5.5
Canada,1996,5.3
Canada,1997,5.1
Canada,1998,5.1
Canada,1999,5.1
Canada,2000,5.1
Canada,2001,4.7
Canada,2002,4.7
Canada,2003,4.7
Canada,2004,4.6
Canada,2005,4.6
Canada,2006,4.6
Canada,2007,4.5
Canada,2008,4.4
United States,1991,9.2
United States,1992,9
United States,1993,9.1
United States,1994,8.9
United States,1995,8.9
United States,1996,8.8
United States,1997,8.9
United States,1998,8.3
United States,1999,8.6
United States,2000,8.2
United States,2001,8.2
United States,2002,8
United States,2003,7.7
United States,2004,7.8
United States,2005,7.6
United States,2006,7.5
United States,2007,7.3
United States,2008,7.1
United States,2009,6.8
United States,2010,6.8
United States,2011,6.8
United States,2012,6.8
United States,2013,6.8
United States,2014,6.9
United States,2015,6.9
United States,2016,7
United States,2017,6.9
United States,2018,6.5
United States,2019,6.1
Sweden,1990,4.7
Sweden,1991,4.3
Sweden,1992,4.3
Sweden,1993,3.9
Sweden,1994,3.9
Sweden,1996,3.8
Sweden,1997,3.7
Sweden,1998,3.6
Sweden,1999,4
Sweden,2000,4.5
Sweden,2001,4
Sweden,2002,4.3
Sweden,2003,4.4
Sweden,2004,4.8
Sweden,2005,4.9
Sweden,2006,5
Sweden,2008,5.5
Sweden,2009,5.1
Sweden,2010,5.3
Sweden,2011,5
Sweden,2012,5.3
Sweden,2013,5.4
Sweden,2014,5.5
Sweden,2015,5.3
Sweden,2016,5.4
Sweden,2017,5.2
Sweden,2018,5
Sweden,2019,4.7
Bulgaria,1990,6.9
Bulgaria,1991,5.7
Bulgaria,1992,5.2
Bulgaria,1993,4.7
Bulgaria,1994,4.5
Bulgaria,1995,4.4
Bulgaria,1996,4.3
Bulgaria,1997,4.2
Bulgaria,1998,4.3
Bulgaria,1999,4.1
Bulgaria,2000,4.3
Bulgaria,2001,4
Bulgaria,2002,3.7
Bulgaria,2003,3.9
Bulgaria,2004,4
Bulgaria,2005,4.4
Bulgaria,2006,4.3
Bulgaria,2007,3.9
Bulgaria,2008,3.7
Bulgaria,2009,3.5
Bulgaria,2010,3.3
Bulgaria,2011,2.9
Bulgaria,2012,2.9
Bulgaria,2013,3
Bulgaria,2014,3.4
Bulgaria,2015,3.9
Bulgaria,2016,3.8
Bulgaria,2017,4
Bulgaria,2018,4.1
Bulgaria,2019,4.2
Belgium,1990,6.5
Belgium,1991,6.1
Belgium,1992,5.8
Belgium,1993,5.4
Belgium,1994,5.1
Belgium,1995,5.1
Belgium,1996,5
Belgium,1997,4.7
Belgium,1998,4.4
Belgium,1999,4.3
Belgium,2000,4.4
Belgium,2001,4.1
Belgium,2002,3.9
Belgium,2003,4
Belgium,2004,4.2
Belgium,2005,4.1
Belgium,2006,4.2
Belgium,2007,4.3
Belgium,2008,4.3
Belgium,2009,4
Belgium,2010,3.9
Belgium,2011,3.7
Belgium,2012,3.8
Belgium,2013,3.4
Belgium,2014,3.6
Belgium,2015,4
Belgium,2016,3.9
Belgium,2017,3.9
Belgium,2018,3.9
Belgium,2019,3.9
Spain,1990,5.7
Spain,1991,5.6
Spain,1992,5.6
Spain,1993,5.1
Spain,1994,5.1
Spain,1995,5.1
Spain,1996,4.9
Spain,1997,5
Spain,1998,5.2
Spain,1999,5.2
Spain,2000,5.4
Spain,2001,5.1
Spain,2002,5.1
Spain,2003,5
Spain,2004,5
Spain,2005,4.7
Spain,2006,4.5
Spain,2007,4.4
Spain,2008,4.2
Spain,2009,3.7
Spain,2010,3.6
Spain,2011,3.4
Spain,2012,3.5
Spain,2013,3.3
Spain,2014,3.4
Spain,2015,3.6
Spain,2016,3.7
Spain,2017,3.7
Spain,2018,3.5
Spain,2019,3.5
China (People's Republic of),2010,9.3
China (People's Republic of),2011,9.3
China (People's Republic of),2012,9.6
Costa Rica,1990,7.5
Costa Rica,1991,7.2
Costa Rica,1992,6.6
Costa Rica,1993,6.3
Costa Rica,1994,6.5
Costa Rica,1995,7.1
Costa Rica,1996,6.7
