

変数情報			
変数	位置	ラベル	欠損値
q30.1d	107	〈母親が就業〉自分がさびしい思いをしている	
q30.1e	108	〈母親が就業〉母がうるさく言うことがなくていい	
q30.1f	109	〈母親が就業〉家事を手伝わなければならないので困る・いやだ	
q30.2a	110	〈母親が未就業〉母には仕事をしてほしいと思う	
q30.2b	111	〈母親が未就業〉仕事をしたら、母は疲れると思う	
q30.2c	112	〈母親が未就業〉仕事をしたほうが、母が生き生きすると思う	
q30.2d	113	〈母親が未就業〉自分がさびしい思いをしなければならないと思う	
q30.2e	114	〈母親が未就業〉母がうるさく言うことがなくなるのでいいと思う	
q30.2f	115	〈母親が未就業〉家事を手伝わなければならないので困る・いやだ	
q31	116	生活の満足度	
q32_1	117	アルバイトの有無：していない	
q32_2	118	アルバイトの有無：ふだんしている	
q32_3	119	アルバイトの有無：休みの間だけしている	
q32_n	120	アルバイトの有無：無回答	
q32a	121	アルバイト額（円）：1ヵ月の収入	99999
q32b	122	アルバイト額（円）：春休みの収入	9999999
q32c	123	アルバイト額（円）：冬休みの収入	9999999
q32d	124	アルバイト額（円）：夏休みの収入	9999999
q32.1	125	アルバイトをしていることの認知	
q33_1	126	調査票記入の際に近くにいた人：父	
q33_2	127	調査票記入の際に近くにいた人：母	
q33_3	128	調査票記入の際に近くにいた人：きょうだい	
q33_4	129	調査票記入の際に近くにいた人：その他の人	
q33_5	130	調査票記入の際に近くにいた人：誰もいない	
q33_n	131	調査票記入の際に近くにいた人：無回答	

変数値		
値		ラベル
妻の回答	0	非協力
	1	回答
夫の回答	0	非協力
	1	回答
就学状況	3	小学校高学年
	4	中学生
	5	高校生
妻就業	1	職業にはついていない
	2	公務員
	3	民間の企業・団体の正規職員
	4	フルタイムの臨時職員
	5	パートタイムのアルバイト
	6	自営業主・自由業
	7	自営業の家族従業員
	8	内職
	9	その他
	99	無回答
q1	1	ひとりで使う子ども部屋がある
	2	きょうだいといっしょに使う子ども部屋がある
	3	子ども部屋はない
	9	無回答
q1.1_1	0	非選択
	1	選択
q1.1_2	0	非選択
	1	選択
q1.1_3	0	非選択
	1	選択
q1.1_4	0	非選択
	1	選択
q1.1_5	0	非選択
	1	選択
q1.1_6	0	非選択
	1	選択
q1.1_n	0	非選択
	1	選択
q2	1	子ども部屋
	2	両親の部屋
	3	居間
	4	客間・応接間
	5	その他
	6	ない
	9	無回答
q3	1	午後4時ごろよりも前、あるいは4時ごろ
	2	午後5時ごろ
	3	午後6時ごろ
	4	午後7時ごろ
	5	午後8時ごろ
	6	午後9時ごろ
	7	午後10時ごろより後
	8	決まっていない
	9	その他
	99	無回答
q4	1	一人で過ごす
	2	きょうだいと過ごす
	3	お父さんと過ごす
	4	お母さんと過ごす
	5	家族みんなで過ごす
	9	無回答
q5a	1	ほぼ毎日
	2	週に4、5日くらい
	3	週に2、3日くらい
	4	週に1日くらい
	5	月に2、3日
	6	全くしない
	9	無回答
q5b	1	ほぼ毎日
	2	週に4、5日くらい
	3	週に2、3日くらい
	4	週に1日くらい
	5	月に2、3日
	6	全くしない
	9	無回答
q5c	1	ほぼ毎日
	2	週に4、5日くらい
	3	週に2、3日くらい
	4	週に1日くらい
	5	月に2、3日
	6	全くしない
	9	無回答
q5d	1	ほぼ毎日
	2	週に4、5日くらい
	3	週に2、3日くらい
	4	週に1日くらい
	5	月に2、3日
	6	全くしない
	9	無回答
q5e	1	ほぼ毎日
	2	週に4、5日くらい
	3	週に2、3日くらい
	4	週に1日くらい
	5	月に2、3日
	6	全くしない
	7	世話をするようなきょうだいはいない
	9	無回答
q6a	1	毎日
	2	2、3日に一度
	3	週に一度
	4	たまに使う程度
	5	めったに使わない
	6	一度も使ったことがない
	7	持っていない
	9	無回答
q6b	1	毎日
	2	2、3日に一度
	3	週に一度
	4	たまに使う程度
	5	めったに使わない
	6	一度も使ったことがない
	7	持っていない
	9	無回答
q6c	1	毎日
	2	2、3日に一度
	3	週に一度
	4	たまに使う程度
	5	めったに使わない
	6	一度も使ったことがない
	7	持っていない
	9	無回答
q6d	1	毎日
	2	2、3日に一度
	3	週に一度
	4	たまに使う程度
	5	めったに使わない
	6	一度も使ったことがない
	7	持っていない
	9	無回答
q6e	1	毎日
	2	2、3日に一度
	3	週に一度
	4	たまに使う程度
	5	めったに使わない
	6	一度も使ったことがない
	7	持っていない
	9	無回答
q7	1	もらっていない
	2	月や週などでだいたい決まった金額のこづかいをもらっている
	3	必要なときにもらっている
	4	その他
	9	無回答
q7.1a	999999	無回答
q7.1b	999999	無回答
q7.2	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
	9	無回答
q7.3	1	感謝している
	2	まあ感謝している
	3	何とも思わない
	9	無回答
q8_1	0	非選択
	1	選択
q8_2	0	非選択
	1	選択
q8_3	0	非選択
	1	選択
q8_4	0	非選択
	1	選択
q8_5	0	非選択
	1	選択
q8_n	0	非選択
	1	選択
q9a	9999999	無回答
q9b	9999999	無回答
q10_1	0	非選択
	1	選択
q10_2	0	非選択
	1	選択
q10_3	0	非選択
	1	選択
q10_4	0	非選択
	1	選択
q10_5	0	非選択
	1	選択
q10_6	0	非選択
	1	選択
q10_7	0	非選択
	1	選択
q10_8	0	非選択
	1	選択
q10_9	0	非選択
	1	選択
q10_10	0	非選択
	1	選択
q10_11	0	非選択
	1	選択
q10_12	0	非選択
	1	選択
q10_13	0	非選択
	1	選択
q10_14	0	非選択
	1	選択
q10_n	0	非選択
	1	選択
q10.1	1	はい
	2	いいえ
	9	無回答
q11	1	ゆとりがある
	2	まあゆとりがある
	3	やや苦しい
	4	苦しい
	5	わからない
	9	無回答
q11.1	1	お父さんから言われている
	2	お母さんから言われている
	3	お父さんとお母さんが話しているのを聞いた
	4	話では聞いていないが、いつもの生活の中でそう感じている
	9	無回答
q12	1	家族全員で食べることが多い
	2	お父さんはいっしょに食べないことが多い
	3	お母さんはいっしょに食べないことが多い
	4	お父さんもお母さんもいっしょに食べないことが多い
	5	一人だけで食べることが多い
	6	朝食は食べない
	7	その他
	9	無回答
q13	1	家族全員で食べることが多い
	2	お父さんはいっしょに食べないことが多い
	3	お母さんはいっしょに食べないことが多い
	4	お父さんもお母さんもいっしょに食べないことが多い
	5	一人だけで食べることが多い
	6	友人と食べることが多い
	7	その他
	9	無回答
q14	1	家族と話しながら食べることが多い
	2	話をせずに食べることが多い
	3	家族とはほとんど夕食を食べない
	9	無回答
q15	1	もっと増やしたい
	2	今のままでいい
	3	今より少なくていい
	9	無回答
q16	1	よく話す
	2	まあ話す
	3	たまに話す
	4	ほとんど話さない
	5	まったく話さない
	9	無回答
q16.1	1	自分も父も同じくらいしゃべり、またお互いに相手の話を聞く
	2	自分がほとんど一方的に話をするだけで、父は黙って聞いている
	3	父がほとんど一方的に話をするだけで、自分は黙って聞いている
	4	自分と父の意見が対立し、二人の間にぎくしゃくとした感じが残る
	9	無回答
q17	1	今よりもっと話したい
	2	今のままでいい
	3	今より話すのは少なくていい
	9	無回答
q18	1	よく話す
	2	まあ話す
	3	たまに話す
	4	ほとんど話さない
	5	まったく話さない
	9	無回答
q18.1	1	自分も母も同じくらいしゃべり、またお互いに相手の話を聞く
	2	自分がほとんど一方的に話をするだけで、母は黙って聞いている
	3	母がほとんど一方的に話をするだけで、自分は黙って聞いている
	4	自分と母の意見が対立し、二人の間にぎくしゃくとした感じが残る
	9	無回答
q19	1	今よりもっと話したい
	2	今のままでいい
	3	今より話すのは少なくていい
	9	無回答
q20a	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年に4回以上
	5	年に1回以上
	6	全くなかった
	7	いない・亡くなった
	9	無回答
q20b	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年に4回以上
	5	年に1回以上
	6	全くなかった
	7	いない・亡くなった
	9	無回答
q20c	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年に4回以上
	5	年に1回以上
	6	全くなかった
	7	いない・亡くなった
	9	無回答
q20d	1	週に3回以上
	2	週に1回以上
	3	月に1回以上
	4	年に4回以上
	5	年に1回以上
	6	全くなかった
	7	いない・亡くなった
	9	無回答
q21a	999	無回答
q21b	999	無回答
q21c	999	無回答
q22a	999	無回答
q22b	999	無回答
q22c	999	無回答
q22.1	999	無回答
q23a	1	毎週のように
	2	月に2、3回くらい
	3	月に1回くらい
	4	2、3ヵ月に1回くらい
	5	ほとんどしない
	9	無回答
q23b	1	毎週のように
	2	月に2、3回くらい
	3	月に1回くらい
	4	2、3ヵ月に1回くらい
	5	ほとんどしない
	9	無回答
q23c	1	毎週のように
	2	月に2、3回くらい
	3	月に1回くらい
	4	2、3ヵ月に1回くらい
	5	ほとんどしない
	9	無回答
q23d	1	毎週のように
	2	月に2、3回くらい
	3	月に1回くらい
	4	2、3ヵ月に1回くらい
	5	ほとんどしない
	9	無回答
q23e	1	毎週のように
	2	月に2、3回くらい
	3	月に1回くらい
	4	2、3ヵ月に1回くらい
	5	ほとんどしない
	9	無回答
q24	1	自分といっしょに家にいてほしい
	2	自分といっしょに外出してほしい
	3	父とは別々にいたい
	4	父がしたいようにすればいい
	9	無回答
q25	1	自分といっしょに家にいてほしい
	2	自分といっしょに外出してほしい
	3	母とは別々にいたい
	4	母がしたいようにすればいい
	9	無回答
q26a	1	はい
	2	いいえ
	9	無回答
q26b	1	はい
	2	いいえ
	9	無回答
q26c	1	はい
	2	いいえ
	9	無回答
q26d	1	はい
	2	いいえ
	9	無回答
q26e	1	はい
	2	いいえ
	9	無回答
q26f	1	はい
	2	いいえ
	9	無回答
q26g	1	はい
	2	いいえ
	9	無回答
q27a	1	はい
	2	いいえ
	9	無回答
q27b	1	はい
	2	いいえ
	9	無回答
q27c	1	はい
	2	いいえ
	9	無回答
q27d	1	はい
	2	いいえ
	9	無回答
q27e	1	はい
	2	いいえ
	9	無回答
q27f	1	はい
	2	いいえ
	9	無回答
q27g	1	はい
	2	いいえ
	9	無回答
q28	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
	9	無回答
q29	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
	9	無回答
q30	1	仕事をしている
	2	仕事をしていない
	9	無回答
q30.1a	1	そう思う
	2	そう思わない
	9	無回答
q30.1b	1	そう思う
	2	そう思わない
	9	無回答
q30.1c	1	そう思う
	2	そう思わない
	9	無回答
q30.1d	1	そう思う
	2	そう思わない
	9	無回答
q30.1e	1	そう思う
	2	そう思わない
	9	無回答
q30.1f	1	そう思う
	2	そう思わない
	9	無回答
q30.2a	1	そう思う
	2	そう思わない
	9	無回答
q30.2b	1	そう思う
	2	そう思わない
	9	無回答
q30.2c	1	そう思う
	2	そう思わない
	9	無回答
q30.2d	1	そう思う
	2	そう思わない
	9	無回答
q30.2e	1	そう思う
	2	そう思わない
	9	無回答
q30.2f	1	そう思う
	2	そう思わない
	9	無回答
q31	1	満足
	2	まあ満足
	3	やや不満
	4	不満
	5	どちらともいえない
	6	わからない
	9	無回答
q32_1	0	非選択
	1	選択
q32_2	0	非選択
	1	選択
q32_3	0	非選択
	1	選択
q32_n	0	非選択
	1	選択
q32a	99999	無回答
q32b	9999999	無回答
q32c	9999999	無回答
q32d	9999999	無回答
q32.1	1	父も母も知っている
	2	父は知っている
	3	母は知っている
	4	父も母も知らない
	9	無回答
q33_1	0	非選択
	1	選択
q33_2	0	非選択
	1	選択
q33_3	0	非選択
	1	選択
q33_4	0	非選択
	1	選択
q33_5	0	非選択
	1	選択
q33_n	0	非選択
	1	選択

