hospital,frequency,month,procedure,satis
13,3,1,0,4.1430058
42,4,1,0,3.8271368
5,2,1,0,2.3258545
10,2,1,0,4.8839722
34,3,1,0,2.8145697
28,2,1,0,3.7551014
13,2,1,0,3.8096447
27,3,1,0,3.0054672
29,4,1,0,3.7276723
14,1,1,0,2.8981681
32,2,1,0,2.8910804
7,1,1,0,4.7439842
40,3,1,0,6.4006147
33,1,1,0,2.94788
45,4,1,0,3.5239451
9,2,1,0,1.5002747
38,2,1,0,3.4608684
21,1,1,0,4.022512
8,1,1,0,2.7389979
7,1,1,0,4.6481099
13,2,1,0,2.8646324
27,3,1,0,3.0267351
43,4,1,0,1.9651926
3,1,1,0,4.0839267
41,1,1,0,2.4769778
16,2,1,0,2.6347003
41,3,1,0,3.1639984
19,4,1,0,2.19116
41,1,1,0,2.9376826
43,2,1,0,1.7083087
41,3,1,0,2.9777331
18,1,1,0,2.9761398
41,4,1,0,2.9351547
41,4,1,0,2.6879108
7,2,1,0,5.3685679
22,2,1,0,4.0626564
5,4,1,0,3.9067502
41,3,1,0,2.7394669
41,3,1,0,3.6512315
2,4,1,0,4.4918451
27,1,1,0,2.9401522
23,4,1,0,4.2198501
20,1,1,0,3.0152421
5,4,1,0,2.4237242
14,4,1,0,3.6722369
31,4,1,0,4.2319059
9,1,1,0,1.4902507
11,4,1,0,3.1280093
10,4,1,0,4.53508
40,1,1,0,3.9221358
17,3,1,0,4.8686123
17,3,1,0,3.8458371
29,4,1,0,3.7713773
8,2,1,0,2.0788229
29,4,1,0,2.4586287
36,1,1,0,5.244772
18,2,1,0,2.250016
20,2,1,0,3.6820004
5,4,1,0,3.2413452
10,1,1,0,4.1042914
3,2,1,0,3.0366538
17,1,1,0,3.1858056
2,4,1,0,4.264586
38,1,1,0,2.6533048
28,3,1,0,3.7739506
43,1,1,0,1.705884
45,3,1,0,2.1021574
39,4,1,0,2.8775094
20,3,1,0,1.8794827
15,4,1,0,2.9918981
3,4,1,0,2.2035935
40,3,1,0,4.2036486
40,4,1,0,4.584321
30,1,1,0,2.8057392
12,1,1,0,3.999326
38,1,1,0,3.0354164
40,2,1,0,4.0268111
40,1,1,0,3.6357164
32,3,1,0,1.6122495
40,2,1,0,3.3578811
11,1,1,0,3.5444348
38,3,1,0,2.0515792
40,4,1,0,5.2812166
40,3,1,0,4.7899384
42,1,1,0,4.1618443
14,4,1,0,3.3672283
6,1,1,0,2.7544696
40,1,1,0,5.8280368
29,4,1,0,3.5846093
34,3,1,0,3.9571488
36,1,1,0,5.0128555
28,1,1,0,3.3165398
35,1,1,0,3.0529246
9,4,1,0,2.8223779
22,3,1,0,4.112298
19,3,1,0,2.3214223
16,3,1,0,5.0150933
14,4,1,0,4.690927
43,1,1,0,2.1227946
4,4,1,0,3.6304348
31,1,1,0,2.9787462
2,4,1,0,3.956223
40,1,1,0,3.9037161
13,2,1,0,3.6202109
7,2,1,0,4.4597855
38,2,1,0,2.7290847
14,1,1,0,2.3274801
46,4,1,0,3.1414165
18,3,1,0,3.7403951
17,4,1,0,3.624234
14,4,1,0,3.7179716
34,1,1,0,2.8781075
9,4,1,0,1.4986777
39,2,1,0,3.3746076
39,4,1,0,3.9342585
12,4,1,0,2.7841842
39,1,1,0,3.0337923
39,4,1,0,3.0958767
8,4,1,0,3.1777382
33,3,1,0,2.8350084
39,4,1,0,2.6046147
5,3,1,0,3.0519791
39,2,1,0,2.1518786
4,1,1,0,3.6149125
34,4,1,0,2.3538136
11,1,1,0,4.2478638
39,1,1,0,2.0728271
40,2,1,0,3.7549751
6,4,1,0,4.8787365
15,4,1,0,2.5258904
32,2,1,0,1.8531358
29,4,1,0,2.4681523
6,4,1,0,3.6912353
24,1,1,0,3.9996078
14,1,1,0,2.131078
22,3,1,0,4.5333853
39,1,1,0,2.5244172
7,4,1,0,4.2909274
7,4,1,0,3.2594104
28,4,1,0,3.605886
4,1,1,0,5.037797
31,2,1,0,4.1298571
17,1,1,0,4.4121757
26,2,1,0,3.2060742
17,3,1,0,4.1234198
34,3,1,0,2.8714356
19,2,1,0,2.3869259
24,4,1,0,2.8261049
21,1,1,0,3.3959608
22,2,1,0,2.9488931
32,1,1,0,3.47824
35,1,1,0,4.2226462
23,3,1,0,3.5420802
1,3,1,0,2.8590865
4,3,1,0,3.1166871
45,2,1,0,2.1829476
1,2,1,0,3.7531054
5,4,1,0,2.5459433
33,2,1,0,2.520597
15,3,1,0,2.5361688
9,1,1,0,2.5235775
33,4,1,0,3.2966559
2,3,1,0,2.7977183
38,1,1,0,3.8055663
31,3,1,0,3.9634635
35,3,1,0,4.4360504
41,1,1,0,2.2290831
4,1,1,0,2.0278268
26,1,1,0,2.2489328
10,4,1,0,4.2584677
6,4,1,0,2.6839013
7,2,1,0,2.8529959
38,2,1,0,3.3842714
38,4,1,0,3.5388007
23,2,1,0,4.3164835
30,1,1,0,2.7215586
35,2,1,0,4.4916396
33,4,1,0,2.8984468
5,1,1,0,1.9643518
38,2,1,0,3.1179836
30,4,1,0,2.0882845
11,3,1,0,3.5622842
27,4,1,0,3.2326899
19,1,1,0,2.3433218
37,2,1,0,3.0187175
17,3,1,0,3.9161336
37,4,1,0,3.3932672
21,3,1,0,5.1032372
12,3,1,0,2.6520138
5,4,1,0,1.1538051
26,4,1,0,3.2680759
3,2,1,0,3.4105072
27,4,1,0,3.6692872
8,1,1,0,2.9378374
3,1,1,0,3.3315768
37,4,1,0,3.9195271
4,2,1,0,3.9539325
11,2,1,0,2.1599391
38,2,1,0,3.2332494
13,1,1,0,3.7481763
23,4,1,0,4.1410842
42,4,1,0,2.9467487
25,2,1,0,3.8487339
37,1,1,0,2.9305434
43,4,1,0,2.9472704
6,4,1,0,2.8770123
7,1,1,0,4.068285
7,1,1,0,4.0473218
31,1,1,0,4.1312985
31,4,1,0,3.7580945
24,1,1,0,3.6506865
1,2,1,0,2.5920646
23,1,1,0,4.5152283
41,1,1,0,5.0316887
28,3,1,0,3.3427753
6,3,1,0,4.3275719
21,4,1,0,4.3222027
23,4,1,0,3.8778522
22,4,1,0,2.8938835
31,2,1,0,4.1099477
46,3,1,0,3.7186437
40,3,1,0,3.5010145
32,4,1,0,2.8471868
5,4,1,0,3.2564757
26,4,1,0,3.8549962
32,2,1,0,2.5770149
32,1,1,0,2.0614502
33,4,1,0,2.5761125
13,2,1,0,3.4808633
39,2,1,0,3.5147421
11,3,1,0,4.7672992
34,2,1,0,3.5867138
43,1,1,0,1.9116039
13,2,1,0,4.553926
30,2,1,0,2.7582674
39,4,1,0,2.8944502
5,4,1,0,3.8604407
27,4,1,0,2.8152013
7,2,1,0,4.494698
36,1,1,0,5.0540752
31,4,1,0,3.1353493
36,4,1,0,5.6456599
36,4,1,0,3.6459241
33,4,1,0,2.7412219
33,4,1,0,3.9483414
39,1,1,0,2.2596049
23,3,1,0,4.8252501
36,4,1,0,5.4003587
36,3,1,0,4.8409038
23,4,1,0,3.6854746
32,2,1,0,2.1198997
22,3,1,0,4.4865813
45,1,1,0,2.288676
1,1,1,0,4.2379804
13,3,1,0,3.5850005
4,2,1,0,4.7093573
7,1,1,0,5.6334405
46,2,1,0,3.8184977
15,1,1,0,2.259618
36,3,1,0,4.5223041
32,1,1,0,2.288096
27,4,1,0,3.0251036
38,1,1,0,2.2721071
9,2,1,0,2.5591702
4,1,1,0,3.871685
12,2,1,0,3.3800688
19,1,1,0,1.7695285
23,4,1,0,4.8020134
46,1,1,0,3.0651379
22,2,1,0,2.0161309
17,4,1,0,3.7306025
5,4,1,0,3.3435593
39,3,1,0,3.361016
31,1,1,0,3.7782841
28,4,1,0,3.3536642
10,4,1,0,4.9104595
43,1,1,0,2.6426711
7,4,1,0,4.8254547
9,2,1,0,1.2435824
23,4,1,0,4.6543522
21,3,1,0,3.9534245
21,3,1,0,5.367137
34,1,1,0,1.9153825
35,2,1,0,3.7154002
6,1,1,0,3.371304
35,3,1,0,3.7227039
35,1,1,0,2.8422437
35,2,1,0,4.1394043
40,1,1,0,5.0840611
45,4,1,0,3.3084502
22,3,1,0,3.9111266
32,3,1,0,2.2772586
40,1,1,0,4.7563815
22,2,1,0,2.5464535
35,1,1,0,3.2515113
24,2,1,0,3.1077738
1,1,1,0,2.6550086
24,2,1,0,3.1038191
24,1,1,0,3.2629077
31,3,1,0,4.9282346
36,2,1,0,5.9382777
38,2,1,0,3.2127161
34,2,1,0,3.4927905
34,3,1,0,3.4991612
16,2,1,0,2.2864585
4,3,1,0,3.1481979
42,3,1,0,3.7603688
16,2,1,0,5.5486655
19,3,1,0,2.2205765
31,4,1,0,3.0087643
1,1,1,0,3.8862922
44,4,1,0,3.4420803
5,2,1,0,2.4448955
6,1,1,0,3.555577
28,4,1,0,5.6807098
24,4,1,0,3.1458104
21,1,1,0,5.5086846
35,1,1,0,3.3528211
11,4,1,0,4.413744
9,3,1,0,1.6670388
30,2,1,0,3.3328657
34,1,1,0,4.3157868
6,2,1,0,3.1823182
26,2,1,0,3.3376312
42,4,1,0,4.5022712
42,2,1,0,4.6892066
28,4,1,0,2.4566681
16,2,1,0,5.6909409
34,1,1,0,3.3580215
34,2,1,0,3.1793182
6,1,1,0,3.5203135
35,4,1,0,2.3528869
46,3,1,0,3.0470357
34,2,1,0,3.0820444
18,1,1,0,2.6534536
8,1,1,0,3.3127623
25,4,1,0,4.2680373
5,3,1,0,2.3387187
34,1,1,0,3.4727139
34,1,1,0,2.5264773
42,1,1,0,5.3704042
4,2,1,0,3.3658879
29,2,1,0,3.4885733
34,3,1,0,3.471375
34,1,1,0,1.9773098
34,1,1,0,3.2165372
17,4,1,0,3.4835837
46,3,1,0,3.6915581
20,1,1,0,2.9107101
46,3,1,0,2.7698474
35,3,1,0,3.9212103
7,1,1,0,3.4587348
20,4,1,0,3.0229058
35,1,1,0,3.4378693
40,3,1,0,3.1860673
2,2,1,0,3.6671364
16,3,1,0,4.2393236
46,1,1,0,2.2780082
32,1,1,0,2.2373588
27,1,1,0,3.4150841
6,1,1,0,3.7599895
20,3,1,0,3.3089795
31,2,1,0,2.6893129
22,4,1,0,6.4537425
43,1,1,0,1.4836907
7,4,1,0,4.7112617
6,4,1,0,3.2894189
35,4,1,0,3.6132207
11,2,1,0,2.9772508
9,3,1,0,2.0448053
16,1,1,0,4.4620728
4,2,1,0,2.8925912
45,1,1,0,2.5936861
6,4,1,0,4.6024828
38,1,1,0,2.9752793
12,4,1,0,3.7286596
33,4,1,0,2.6159921
4,3,1,0,3.5953648
10,3,1,0,4.804564
4,4,1,0,3.0455668
36,2,1,0,5.0083947
20,4,1,0,3.8300979
26,2,1,0,3.5916171
13,2,1,0,3.7476101
33,3,1,0,2.9167612
33,3,1,0,2.5490406
33,3,1,0,2.93681
33,3,1,0,2.6331878
19,2,1,0,2.9390123
17,4,1,0,3.7870061
19,1,1,0,2.5251229
36,1,1,0,4.8477373
38,2,1,0,2.7882869
8,2,1,0,4.3262124
34,2,1,0,4.0643659
33,2,1,0,2.4858274
2,4,1,0,4.2580557
25,2,1,0,4.504807
24,4,1,0,1.9773729
6,2,1,0,4.6297302
10,2,1,0,5.4232836
5,1,1,0,3.2750061
6,4,1,0,3.9888434
33,2,1,0,2.5583596
15,3,1,0,4.1558685
35,2,1,0,3.1027646
7,3,1,0,5.5423727
7,1,1,0,5.4454036
17,1,1,0,4.4810843
21,3,1,0,4.2608061
36,1,1,0,6.1921649
25,4,1,0,2.8284707
5,4,1,0,4.1339397
32,4,1,0,2.7650111
32,4,1,0,2.2451222
31,3,1,0,6.0624542
10,4,1,0,4.2254443
32,4,1,0,2.4225099
27,2,1,0,3.4309273
45,4,1,0,2.694489
7,4,1,0,4.5498347
9,4,1,0,1.5494612
32,2,1,0,3.1800003
32,2,1,0,3.3500192
6,1,1,0,3.4778149
32,1,1,0,2.1903393
45,2,1,0,3.0593266
6,1,1,0,3.4885139
5,1,1,0,3.6038361
36,1,1,0,5.6904049
18,2,1,0,2.6012487
21,3,1,0,3.5702977
34,1,1,0,2.6441433
41,3,1,0,2.7052886
31,2,1,0,3.6650372
1,3,1,0,3.1344352
21,4,1,0,5.1914792
15,4,1,0,2.2918987
16,2,1,0,5.4409127
4,1,1,0,3.3929994
45,2,1,0,2.6757627
12,1,1,0,2.141094
40,2,1,0,4.0408359
41,3,1,0,3.5526054
22,4,1,0,3.2207317
13,4,1,0,2.7515895
40,2,1,0,5.059113
28,1,1,0,5.2518167
17,1,1,0,4.7885532
2,3,1,0,3.0274687
26,1,1,0,3.01424
31,3,1,0,4.1556888
29,4,1,0,2.6708202
31,4,1,0,3.6414835
31,3,1,0,4.1698442
31,3,1,0,3.3569629
31,4,1,0,3.8115077
46,3,1,0,3.4365249
44,4,1,0,4.4188585
31,3,1,0,3.6340301
31,2,1,0,4.6749682
24,4,1,0,2.5157521
31,3,1,0,4.1196804
31,3,1,0,2.9647675
13,4,1,0,4.3871169
14,2,1,0,3.1929226
4,3,1,0,3.1744804
24,2,1,0,3.4099314
1,4,1,0,2.3144205
7,2,1,0,4.3955054
1,4,1,0,4.4428163
7,2,1,0,4.5472488
6,2,1,0,4.2941828
13,3,1,0,3.6881893
27,3,1,0,2.0542462
42,1,1,0,2.5897584
34,3,1,0,4.0787635
3,1,1,0,4.4420948
41,3,1,0,3.6097839
14,1,1,0,2.2282803
29,1,1,0,4.1682935
8,4,1,0,3.3337967
37,3,1,0,4.6581764
30,2,1,0,4.2326283
30,4,1,0,2.8917444
30,2,1,0,3.2609954
30,3,1,0,3.2052844
42,1,1,0,4.1357651
6,2,1,0,3.978411
4,1,1,0,4.5932312
13,2,1,0,4.4194922
19,1,1,0,2.2540493
17,1,1,0,3.3594959
37,1,1,0,3.5427911
30,2,1,0,2.6602795
19,2,1,0,2.5856066
36,4,1,0,4.5973701
25,1,1,0,4.4745102
13,1,1,0,2.8206036
16,4,1,0,6.5379839
43,3,1,0,2.5765545
45,3,1,0,2.108403
16,4,1,0,4.9878244
33,2,1,0,2.3776138
39,2,1,0,3.4053364
30,2,1,0,3.3227479
16,4,1,0,3.7313607
10,1,1,0,6.1484756
21,1,1,0,4.8646984
38,3,1,0,2.8737833
14,4,1,0,3.1065829
19,1,1,0,2.2460566
27,2,1,0,3.0262969
1,1,1,0,3.9317381
32,2,1,0,2.8618431
42,2,1,0,4.7993193
29,4,1,0,3.228452
43,2,1,0,2.5500896
29,2,1,0,3.6523588
33,2,1,0,2.4310219
29,3,1,0,3.235563
29,2,1,0,2.6789584
29,4,1,0,3.6431956
15,3,1,0,3.0774271
30,2,1,0,2.8535912
30,2,1,0,2.5777678
41,3,1,0,3.0747824
14,2,1,0,3.4386683
22,3,1,0,3.8643494
41,1,1,0,2.4281881
36,2,1,0,4.4006424
29,4,1,0,2.8772895
8,1,1,0,2.6052985
27,3,1,0,3.2076178
8,1,1,0,3.2588258
7,3,1,0,4.9797258
4,2,1,0,4.4770632
3,1,1,0,3.8918476
27,2,1,0,3.5564466
45,2,1,0,3.1827688
4,1,1,0,2.6877797
10,4,1,0,6.4099565
15,2,1,0,2.9802973
28,4,1,0,2.279393
28,4,1,0,4.3862424
28,4,1,0,3.8859885
28,1,1,0,4.2335725
38,2,1,0,2.7836933
28,1,1,0,3.8684657
44,4,1,0,3.2873788
28,4,1,0,5.5278797
28,1,1,0,4.1811147
33,1,1,0,3.7465611
28,3,1,0,3.5567055
11,2,1,0,3.456002
44,3,1,0,3.7082582
1,1,1,0,3.3240526
11,2,1,0,3.9842124
25,2,1,0,4.7171879
20,2,1,0,2.8000357
7,2,1,0,3.4092054
16,3,1,0,5.5551395
5,2,1,0,3.1491513
32,2,1,0,2.1769083
11,1,1,0,2.8535888
39,1,1,0,3.1425512
21,3,1,0,4.6782918
10,4,1,0,4.9760938
25,4,1,0,4.5367222
6,4,1,0,3.5162301
9,2,1,0,1.5307063
10,3,1,0,5.8116026
5,1,1,0,2.5936308
26,4,1,0,3.0024271
37,4,1,0,3.4986742
26,1,1,0,3.1277981
36,2,1,0,5.4415011
34,3,1,0,3.1966722
45,3,1,0,2.9909558
36,1,1,0,4.8463259
8,3,1,0,2.4131444
7,2,1,0,6.1157646
16,1,1,0,5.5697837
26,4,1,0,3.6117213
28,4,1,0,3.7174747
40,2,1,0,3.9579933
37,1,1,0,3.7966554
36,3,1,0,6.5884728
27,2,1,0,3.8395455
24,3,1,0,3.3178632
32,2,1,0,2.696358
9,2,1,0,1.2839375
19,1,1,0,2.4980414
27,1,1,0,2.1125379
44,1,1,0,3.6354709
19,2,1,0,1.6599352
15,2,1,0,2.958854
27,1,1,0,3.2031655
1,2,1,0,2.4388423
46,3,1,0,2.7244456
22,4,1,0,3.6843514
22,3,1,0,3.56458
22,1,1,0,3.2910266
10,4,1,0,6.1155934
29,2,1,0,3.392432
7,1,1,0,5.7471476
27,3,1,0,2.5365334
3,3,1,0,4.0145841
21,2,1,0,3.9168735
5,2,1,0,2.6385353
44,4,1,0,3.1165135
34,2,1,0,1.9285808
2,3,1,0,3.1719277
44,1,1,0,3.7501533
34,1,1,0,2.927001
44,4,1,0,3.0818932
18,1,1,0,3.4399908
39,2,1,0,2.4655151
39,1,1,0,1.830484
27,3,1,0,2.0389059
40,1,1,0,4.7965393
25,4,1,0,4.0994234
26,4,1,0,3.7418647
25,3,1,0,4.2499723
21,3,1,0,3.2449949
40,3,1,0,4.335125
17,4,1,0,2.660902
17,4,1,0,3.798198
4,2,1,0,3.585079
10,3,1,0,4.517962
38,3,1,0,1.5096387
40,4,1,0,5.0808382
32,2,1,0,3.2090349
26,1,1,0,3.7485106
9,2,1,0,2.2915468
18,2,1,0,3.4688323
45,1,1,0,2.2860725
7,2,1,0,6.3478456
36,2,1,0,6.5244703
9,2,1,0,.84628582
16,1,1,0,5.2224903
13,4,1,0,3.9737091
40,1,1,0,2.3658714
38,1,1,0,2.7515025
27,2,1,0,2.2145097
34,3,1,0,2.229109
36,2,1,0,6.6772189
19,1,1,0,1.6930137
27,1,1,0,2.8056927
25,2,1,0,3.9621
16,1,1,0,5.2416444
46,1,1,0,2.6574547
43,1,1,0,2.4145017
8,1,1,0,4.5080438
10,4,1,0,1.6664823
25,4,1,0,3.8825243
2,3,1,0,2.8874426
19,4,1,0,3.1554806
14,3,1,0,3.4895947
11,1,1,0,2.4278421
38,4,1,0,3.031275
8,4,1,0,4.0197434
27,2,1,0,2.0333533
40,4,1,0,4.791707
19,3,1,0,1.4925452
19,4,1,0,2.9727957
33,1,1,0,2.3858309
30,1,1,0,3.6549668
38,2,1,0,3.012409
29,2,1,0,3.4923532
7,1,1,0,4.3877144
20,1,1,0,3.1962721
36,3,1,0,6.286953
34,1,1,0,3.4025903
7,4,1,0,4.0497417
14,1,1,0,3.9844339
16,3,1,0,4.2296185
33,4,1,0,2.4841297
41,4,1,0,2.6635258
2,1,1,0,3.5346112
39,4,1,0,3.5856767
2,4,1,0,3.7823277
29,4,1,0,4.0929418
24,2,1,0,3.4022331
34,3,1,0,3.2695036
11,1,1,0,3.3549216
24,4,1,0,2.23297
29,4,1,0,3.3127539
26,4,1,0,4.3770685
45,4,1,0,2.4549813
35,3,1,0,3.7722795
5,3,1,0,3.3499825
3,3,1,0,3.3619552
6,1,1,0,2.1617119
2,4,1,0,3.1774542
23,4,1,0,3.6654108
22,4,1,0,3.2520561
1,1,1,0,3.1783631
1,4,1,0,3.3334658
46,2,1,0,3.2117429
10,4,1,0,4.9990311
13,3,1,0,4.3683228
26,3,1,0,3.7462809
16,1,1,0,4.7008982
4,1,1,0,4.3242793
33,2,1,0,3.3028662
36,1,1,0,6.328351
17,4,1,0,4.8142033
35,4,1,0,2.9448195
16,3,1,0,4.7665963
29,1,1,0,3.8838429
14,4,1,0,4.6202312
19,4,1,0,2.1609676
8,1,1,0,3.8054786
42,3,1,0,3.6954587
45,2,1,0,2.0228791
7,1,1,0,2.9291384
23,4,1,0,3.7797544
31,2,1,0,3.9917216
34,2,1,0,2.8747506
2,2,1,0,4.1321263
2,1,1,0,3.9028387
23,1,1,0,5.305398
23,1,1,0,3.7543342
23,4,1,0,3.7807295
6,4,1,0,3.9488802
43,2,1,0,3.5648384
8,3,1,0,2.7722445
16,1,1,0,6.618763
38,1,1,0,3.9732807
43,2,1,0,2.4962347
11,4,1,0,2.5418308
23,4,1,0,3.9899337
4,4,1,0,3.5824645
12,1,1,0,2.9198616
40,4,1,0,3.3550997
32,4,1,0,2.7284098
34,3,1,0,2.9131596
35,1,1,0,3.3658824
29,3,1,0,3.3817537
45,1,1,0,2.5285125
8,4,1,0,3.2320127
17,1,1,0,3.7781396
34,1,1,0,2.058038
45,4,1,0,3.2339165
41,2,1,0,3.2642035
15,4,1,0,2.5779161
36,4,1,0,5.9306326
10,3,1,0,3.9585974
10,1,1,0,3.390892
32,4,1,0,3.0274918
10,3,1,0,3.0306337
20,1,1,0,3.035651
22,4,1,0,4.4405098
16,3,1,0,4.1682248
22,2,1,0,4.7302694
22,3,1,0,4.7573876
19,2,1,0,2.4311597
41,1,1,0,3.5834634
22,3,1,0,3.0465105
8,2,1,0,3.3895175
15,3,1,0,3.6734064
22,4,1,0,3.7663701
34,2,1,0,2.3044624
14,4,1,0,2.6805983
22,3,1,0,4.8190265
22,4,1,0,4.0055385
40,2,1,0,3.3743858
12,1,1,0,3.5523682
22,4,1,0,5.5652132
22,4,1,0,2.5951021
9,4,1,0,1.8715038
7,2,1,0,4.8276014
9,2,1,0,1.9421217
1,2,1,0,3.1616621
34,2,1,0,4.0823717
22,1,1,0,3.939837
6,1,1,0,1.9301188
14,1,1,0,4.2452617
35,1,1,0,2.9958389
27,1,1,0,2.2682896
3,3,1,0,2.41734
35,4,1,0,3.3017492
5,2,1,0,3.4412231
28,1,1,0,3.8608856
17,1,1,0,4.0598078
45,2,1,0,2.3207505
