
変数情報		
変数	位置	ラベル
rpflw409	143	w1-問９．からだや心の状態（エ）物事に集中できなかったこと
rpflw509	144	w1-問９．からだや心の状態（オ）食欲が落ちたこと
rpflw609	145	w1-問９．からだや心の状態（カ）何をするのも面倒と感じだこと
rpflw709	146	w1-問９．からだや心の状態（キ）何か恐ろしい気持がしたこと
rpflw809	147	w1-問９．からだや心の状態（ク）なかなか眠れなかったこと
rpflw909	148	w1-問９．からだや心の状態（ケ）ふだんより口数が少なかったこと
rpflwa09	149	w1-問９．からだや心の状態（コ）一人ぼっちで寂しいと感じだこと
rpflwb09	150	w1-問９．からだや心の状態（サ）「毎日が楽しい」と感じたこと
rpflwc09	151	w1-問９．からだや心の状態（シ）悲しいと感じだこと
rpflf109	152	w1-問１０．悩みや不安（ア）「自分が家族に理解されていない」と感じたこと
rpflf209	153	w1-問１０．悩みや不安（イ）家事・育児・介護などでの負担が大きすぎると感じたこと
rpflf309	154	w1-問１０．悩みや不安（ウ）家計の先行きについて不安を感じたこと
rphlth09	155	w1-問１１．本人健康状態
rpstlt09	156	w1-問１２．生活全体満足度
rpncd	157	w1-問１３．子どもの人数
c1sex09	158	w1-問１３付問１．健在の１番上のお子さん（１）性別
c1btgg	159	w1-問１３付問１．健在の１番上のお子さん（２）出生年（元号）
c1btyr	160	w1-問１３付問１．健在の１番上のお子さん（２）出生年（年）
c1btag	161	w1-問１３付問１．健在の１番上のお子さん（２）出生年（年齢）
c1lvw	162	w1-問１３付問１．健在の１番上のお子さん（３）同居別居
c2sex09	163	w1-問１３付問１．健在の２番目のお子さん（１）性別
c2btgg	164	w1-問１３付問１．健在の２番目のお子さん（２）出生年（元号）
c2btyr	165	w1-問１３付問１．健在の２番目のお子さん（２）出生年（年）
c2btag	166	w1-問１３付問１．健在の２番目のお子さん（２）出生年（年齢）
c2lvw	167	w1-問１３付問１．健在の２番目のお子さん（３）同居別居
c3sex09	168	w1-問１３付問１．健在の３番目のお子さん（１）性別
c3btgg	169	w1-問１３付問１．健在の３番目のお子さん（２）出生年（元号）
c3btyr	170	w1-問１３付問１．健在の３番目のお子さん（２）出生年（年）
c3btag	171	w1-問１３付問１．健在の３番目のお子さん（２）出生年（年齢）
c3lvw	172	w1-問１３付問１．健在の３番目のお子さん（３）同居別居
c4sex	173	w1-問１３付問１．健在の４番目のお子さん（１）性別
c4btgg	174	w1-問１３付問１．健在の４番目のお子さん（２）出生年（元号）
c4btyr	175	w1-問１３付問１．健在の４番目のお子さん（２）出生年（年）
c4btag	176	w1-問１３付問１．健在の４番目のお子さん（２）出生年（年齢）
c4lvw	177	w1-問１３付問１．健在の４番目のお子さん（３）同居別居
c5sex	178	w1-問１３付問１．健在の５番目のお子さん（１）性別
c5btgg	179	w1-問１３付問１．健在の５番目のお子さん（２）出生年（元号）
c5btyr	180	w1-問１３付問１．健在の５番目のお子さん（２）出生年（年）
c5btag	181	w1-問１３付問１．健在の５番目のお子さん（２）出生年（年齢）
c5lvw	182	w1-問１３付問１．健在の５番目のお子さん（３）同居別居
c6sex	183	w1-問１３付問１．健在の６番目のお子さん（１）性別
c6btgg	184	w1-問１３付問１．健在の６番目のお子さん（２）出生年（元号）
c6btyr	185	w1-問１３付問１．健在の６番目のお子さん（２）出生年（年）
c6btag	186	w1-問１３付問１．健在の６番目のお子さん（２）出生年（年齢）
c6lvw	187	w1-問１３付問１．健在の６番目のお子さん（３）同居別居
cdsex	188	w1-問１３付問１．死亡のお子さん１人目（１）性別
cdbtgg	189	w1-問１３付問１．死亡のお子さん１人目（２）出生年（元号）
cdbtyr	190	w1-問１３付問１．死亡のお子さん１人目（２）出生年（年）
cesex	191	w1-問１３付問１．死亡のお子さん２人目（１）性別
cebtgg	192	w1-問１３付問１．死亡のお子さん２人目（２）出生年（元号）
cebtyr	193	w1-問１３付問１．死亡のお子さん２人目（２）出生年（年）
c1hvjb09	194	w1-問１３付問２．健在の１番上のお子さん壮年高年（ア）仕事の有無
c1plc09	195	w1-問１３付問２．健在の１番上のお子さん壮年高年（イ）居住場所
c1edc	196	w1-問１３付問２．健在の１番上のお子さん（ウ）学歴
c1cnot09	197	w1-問１３付問２．健在の１番上のお子さん壮年高年（エ）子どもの有無（いない）
c1cl0509	198	w1-問１３付問２．健在の１番上のお子さん壮年高年（エ）子どもの有無（0-5歳）
c1cl1709	199	w1-問１３付問２．健在の１番上のお子さん壮年高年（エ）子どもの有無（6-17歳）
c1cg1809	200	w1-問１３付問２．健在の１番上のお子さん壮年高年（エ）子どもの有無（18歳以上）
c1cvy09	201	w1-問１３付問２．健在の１番上のお子さん壮年高年（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c1rsmo09	202	w1-問１３付問２．健在の１番上のお子さん壮年高年（カ）この１年間に、この方から金銭的な援助を受けましたか
c1rsad09	203	w1-問１３付問２．健在の１番上のお子さん壮年高年（キ）この１年間に、この方に相談にのってもらうことはありましたか
c1rshe09	204	w1-問１３付問２．健在の１番上のお子さん壮年高年（ク）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c1psmo09	205	w1-問１３付問２．健在の１番上のお子さん壮年高年（ケ）この１年間に、この方に金銭的な援助をしましたか
c1psad09	206	w1-問１３付問２．健在の１番上のお子さん壮年高年（コ）この１年間に、この方の相談相手になることはありましたか
c1pshe09	207	w1-問１３付問２．健在の１番上のお子さん壮年高年（サ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c1rlt	208	w1-問１３付問２．健在の１番上のお子さん（シ）この方との関係は、いかがですか
c1mf	209	w1-問１３付問２．健在の１番上のお子さん（ス）この方は、今現在「あなたの家族の一員」だと思いますか
c1mfcs	210	w1-問１３付問２．健在の１番上のお子さん壮年高年（セ）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
c1play09	211	w1-問１３付問２．健在の１番上のお子さん若年（イ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c1tch09	212	w1-問１３付問２．健在の１番上のお子さん若年（ウ）ふだん、この方に知識や技能を教えることはありますか
c1dnr09	213	w1-問１３付問２．健在の１番上のお子さん若年（エ）ふだん、この方と一緒に夕食をとることはありますか
c2hvjb09	214	w1-問１３付問２．健在の２番目のお子さん壮年高年（ア）仕事の有無
c2plc09	215	w1-問１３付問２．健在の２番目のお子さん壮年高年（イ）居住場所
c2edc	216	w1-問１３付問２．健在の２番目のお子さん（ウ）学歴
c2cnot09	217	w1-問１３付問２．健在の２番目のお子さん壮年高年（エ）子どもの有無（いない）
c2cl0509	218	w1-問１３付問２．健在の２番目のお子さん壮年高年（エ）子どもの有無（0-5歳）
c2cl1709	219	w1-問１３付問２．健在の２番目のお子さん壮年高年（エ）子どもの有無（6-17歳）
c2cg1809	220	w1-問１３付問２．健在の２番目のお子さん壮年高年（エ）子どもの有無（18歳以上）
c2cvy09	221	w1-問１３付問２．健在の２番目のお子さん壮年高年（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c2rsmo09	222	w1-問１３付問２．健在の２番目のお子さん壮年高年（カ）この１年間に、この方から金銭的な援助を受けましたか
c2rsad09	223	w1-問１３付問２．健在の２番目のお子さん壮年高年（キ）この１年間に、この方に相談にのってもらうことはありましたか
c2rshe09	224	w1-問１３付問２．健在の２番目のお子さん壮年高年（ク）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c2psmo09	225	w1-問１３付問２．健在の２番目のお子さん壮年高年（ケ）この１年間に、この方に金銭的な援助をしましたか
c2psad09	226	w1-問１３付問２．健在の２番目のお子さん壮年高年（コ）この１年間に、この方の相談相手になることはありましたか
c2pshe09	227	w1-問１３付問２．健在の２番目のお子さん壮年高年（サ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c2rlt	228	w1-問１３付問２．健在の２番目のお子さん（シ）この方との関係はいかがですか
c2mf	229	w1-問１３付問２．健在の２番目のお子さん（ス）この方は、今現在「あなたの家族の一員」だと思いますか
c2mfcs	230	w1-問１３付問２．健在の２番目のお子さん壮年高年（セ）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
c2play09	231	w1-問１３付問２．健在の２番目のお子さん若年（イ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c2tch09	232	w1-問１３付問２．健在の２番目のお子さん若年（ウ）ふだん、この方に知識や技能を教えることはありますか
c2dnr09	233	w1-問１３付問２．健在の２番目のお子さん若年（エ）ふだん、この方と一緒に夕食をとることはありますか
c3hvjb09	234	w1-問１３付問２．健在の３番目のお子さん壮年高年（ア）仕事の有無
c3plc09	235	w1-問１３付問２．健在の３番目のお子さん壮年高年（イ）居住場所
c3edc	236	w1-問１３付問２．健在の３番目のお子さん（ウ）学歴
c3cnot09	237	w1-問１３付問２．健在の３番目のお子さん壮年高年（エ）子どもの有無（いない）
c3cl0509	238	w1-問１３付問２．健在の３番目のお子さん壮年高年（エ）子どもの有無（0-5歳）
c3cl1709	239	w1-問１３付問２．健在の３番目のお子さん壮年高年（エ）子どもの有無（6-17歳）
c3cg1809	240	w1-問１３付問２．健在の３番目のお子さん壮年高年（エ）子どもの有無（18歳以上）
c3cvy09	241	w1-問１３付問２．健在の３番目のお子さん壮年高年（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
c3rsmo09	242	w1-問１３付問２．健在の３番目のお子さん壮年高年（カ）この１年間に、この方から金銭的な援助を受けましたか
c3rsad09	243	w1-問１３付問２．健在の３番目のお子さん壮年高年（キ）この１年間に、この方に相談にのってもらうことはありましたか
c3rshe09	244	w1-問１３付問２．健在の３番目のお子さん壮年高年（ク）この１年間に、この方に看病や家事などの手伝いをしてもらうことはありましたか
c3psmo09	245	w1-問１３付問２．健在の３番目のお子さん壮年高年（ケ）この１年間に、この方に金銭的な援助をしましたか
c3psad09	246	w1-問１３付問２．健在の３番目のお子さん壮年高年（コ）この１年間に、この方の相談相手になることはありましたか
c3pshe09	247	w1-問１３付問２．健在の３番目のお子さん壮年高年（サ）この１年間に、この方の看病や家事・育児などの手伝いをしたことはありましたか
c3rlt	248	w1-問１３付問２．健在の３番目のお子さん（シ）この方との関係はいかがですか
c3mf	249	w1-問１３付問２．健在の３番目のお子さん（ス）この方は、今現在「あなたの家族の一員」だと思いますか
c3mfcs	250	w1-問１３付問２．健在の３番目のお子さん壮年高年（セ）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
c3play09	251	w1-問１３付問２．健在の３番目のお子さん若年（イ）ふだん、この方と一緒に遊ぶことは、どのくらいありますか
c3tch09	252	w1-問１３付問２．健在の３番目のお子さん若年（ウ）ふだん、この方に知識や技能を教えることはありますか
c3dnr09	253	w1-問１３付問２．健在の３番目のお子さん若年（エ）ふだん、この方と一緒に夕食をとることはありますか
rpcch1	254	w1-問１３付問３．しつけや子どもとの関わり若年（ア）子どもによく話しかけること
rpcch2	255	w1-問１３付問３．しつけや子どもとの関わり若年（イ）子どもを無視すること
rpcch3	256	w1-問１３付問３．しつけや子どもとの関わり若年（ウ）手や体をたたいて叱ること
rpcch4	257	w1-問１３付問３．しつけや子どもとの関わり若年（エ）怒って、子どもを押入れや浴室に閉じ込めたり、家の外（ベランダなど）に出すこと
rpcch5	258	w1-問１３付問３．しつけや子どもとの関わり若年（オ）子どもが傷つくようなことを言うこと
rpcch6	259	w1-問１３付問３．しつけや子どもとの関わり若年（カ）子どもの気持ちや考えを理解しようとすること
rpbcju	260	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（仕事はしていなかった）
rpbcjq	261	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（仕事をやめた）
rpbcjb	262	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（転職した）
rpbcjw	263	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（同じ職場内での変化）
rpbcjs	264	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（育児休業を取得した）
rpbcjn	265	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（変化なし）
rpbcjo	266	w1-問１３付問３．最初のお子さんの妊娠や出産後の就業状況若年壮年（その他）
rpwtch	267	w1-問１３付問５．子どもを（もう１人）ほしいと思うか若年
fabtgg	268	w1-問１４．父（ア）出生年（年号）
fabtyr	269	w1-問１４．父（ア）出生年（年）
fabtag09	270	w1-問１４．父（ア）出生年（歳）
faedc	271	w1-問１４．父（イ）学歴
fasl09	272	w1-問１４．父（ウ）健在・死亡の別
fadtgg	273	w1-問１４．父（ウ）死亡（元号）
fadtyr	274	w1-問１４．父（ウ）死亡（年）
fadtag	275	w1-問１４．父（ウ）死亡（歳）
mabtgg	276	w1-問１４．母（ア）出生年（年号）
mabtyr	277	w1-問１４．母（ア）出生年（年）
mabtag09	278	w1-問１４．母（ア）出生年（歳）
maedc	279	w1-問１４．母（イ）学歴
masl09	280	w1-問１４．母（ウ）健在・死亡の別
madtgg	281	w1-問１４．母（ウ）死亡（元号）
madtyr	282	w1-問１４．母（ウ）死亡（年）
madtag	283	w1-問１４．母（ウ）死亡（歳）
fahvjb09	284	w1-問１４付問１．父若年壮年（ア）就業状況
faplc09	285	w1-問１４付問１．父（イ）居住場所
facvy09	286	w1-問１４付問１．父（ウ）この１年間に、この方と「話らしい話」をどのくらいしましたか
farsmo09	287	w1-問１４付問１．父若年壮年（エ）この１年間に、この方から金銭的な援助を受けましたか
farsad09	288	w1-問１４付問１．父若年壮年（オ）この１年間に、この方に相談にのってもらうことはありましたか
farshe09	289	w1-問１４付問１．父若年壮年（カ）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
fapsmo09	290	w1-問１４付問１．父（キ）この１年間に金銭的な援助をしましたか
fapsad09	291	w1-問１４付問１．父（ク）この１年間に、この方の相談相手になることはありましたか
fapshe09	292	w1-問１４付問１．父若年壮年（ケ）この１年間に、この方の看病や家事などの手伝いをしたことはありましたか
fafmt	293	w1-問１４付問１．父若年壮年（コ）この１年間に、この方とどの程度会いましたか
farlt	294	w1-問１４付問１．父若年壮年（サ）この方との関係は、いかがですか
famf	295	w1-問１４付問１．父若年壮年（シ）この方は、今現在「あなたの家族の一員」だと思いますか
mahvjb09	296	w1-問１４付問１．母若年壮年（ア）就業状況
maplc09	297	w1-問１４付問１．母（イ）居住場所
macvy09	298	w1-問１４付問１．母（ウ）この１年間に、この方と「話らしい話」をどのくらいしましたか
marsmo09	299	w1-問１４付問１．母若年壮年（エ）この１年間に、この方から金銭的な援助を受けましたか
marsad09	300	w1-問１４付問１．母若年壮年（オ）この１年間に、この方に相談にのってもらうことはありましたか
marshe09	301	w1-問１４付問１．母若年壮年（カ）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
mapsmo09	302	w1-問１４付問１．母（キ）この１年間に金銭的な援助をしましたか
mapsad09	303	w1-問１４付問１．母（ク）この１年間に、この方の相談相手になることはありましたか
mapshe09	304	w1-問１４付問１．母若年壮年（ケ）この１年間に、この方の看病や家事などの手伝いをしたことはありましたか
mafmt	305	w1-問１４付問１．母若年壮年（コ）この１年間に、この方とどの程度会いましたか
marlt	306	w1-問１４付問１．母若年壮年（サ）この方との関係は、いかがですか
mamf	307	w1-問１４付問１．母若年壮年（シ）この方は、今現在「あなたの家族の一員」だと思いますか
rpnlob	308	w1-問１５．兄（健在）
rpndob	309	w1-問１５．兄（死亡）
rpnlos	310	w1-問１５．姉（健在）
rpndos	311	w1-問１５．姉（死亡）
rpnlyb	312	w1-問１５．弟（健在）
rpndyb	313	w1-問１５．弟（死亡）
rpnlys	314	w1-問１５．妹（健在）
rpndys	315	w1-問１５．妹（死亡）
rpnlsb09	316	w1-問１５．健在のきょうだいの人数
s1sex09	317	w1-問１５付問１．健在の１番年上のきょうだい（ア）性別
s1btgg09	318	w1-問１５付問１．健在の１番年上のきょうだい（イ）出生年（元号）
s1btyr09	319	w1-問１５付問１．健在の１番年上のきょうだい（イ）出生年（年）
s1btag09	320	w1-問１５付問１．健在の１番年上のきょうだい（イ）出生年（年齢）
s1plc09	321	w1-問１５付問１．健在の１番年上のきょうだい（ウ）居住場所
s1edc	322	w1-問１５付問１．健在の１番年上のきょうだい（エ）学歴
s1cvy09	323	w1-問１５付問１．健在の１番年上のきょうだい（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
s1rsmo09	324	w1-問１５付問１．健在の１番年上のきょうだい（カ）この１年間に、この方から金銭的な援助を受けましたか
s1rsad09	325	w1-問１５付問１．健在の１番年上のきょうだい（キ）この１年間に、この方に相談にのってもらうことはありましたか
s1rshe09	326	w1-問１５付問１．健在の１番年上のきょうだい（ク）この１年間に、この方に看病や家事・育児などの手伝いをしてもらうことはありましたか
s1psmo09	327	w1-問１５付問１．健在の１番年上のきょうだい（ケ）この１年間に、この方に金銭的な援助をしましたか
s1psad09	328	w1-問１５付問１．健在の１番年上のきょうだい（コ）この１年間に、この方の相談相手になることはありましたか
s1pshe09	329	w1-問１５付問１．健在の１番年上のきょうだい（サ）この１年間に、この方の看病や家事・育児などの手伝いをしましたか
s1mf	330	w1-問１５付問１．健在の１番年上のきょうだい（シ）この方は、今現在「あなたの家族の一員」だと思いますか
s1mfss	331	w1-問１５付問１．健在の１番年上のきょうだい（ス）この方の配偶者は、今現在「あなたの家族の一員」だと思いますか
s2sex09	332	w1-問１５付問１．健在の２番目のきょうだい（ア）性別
s2btgg09	333	w1-問１５付問１．健在の２番目のきょうだい（イ）出生年（元号）
s2btyr09	334	w1-問１５付問１．健在の２番目のきょうだい（イ）出生年（年）
s2btag09	335	w1-問１５付問１．健在の２番目のきょうだい（イ）出生年（年齢）
s2plc09	336	w1-問１５付問１．健在の２番目のきょうだい（ウ）居住場所
s2edc	337	w1-問１５付問１．健在の２番目のきょうだい（エ）学歴
s2cvy09	338	w1-問１５付問１．健在の２番目のきょうだい（オ）この１年間に、この方と「話らしい話」をどのくらいしましたか
s2rsmo09	339	w1-問１５付問１．健在の２番目のきょうだい（カ）この１年間に、この方から金銭的な援助を受けましたか
s2rsad09	340	w1-問１５付問１．健在の２番目のきょうだい（キ）この１年間に、この方に相談にのってもらうことはありましたか
